Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Home W-L%,Away W,Away L,Away W-L%,Points Tm.,Points Opp.,Column1,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF
1,Abilene Christian,31,16,15,0.516,-8.95,-6.8,8,10,9,6,0.6,6,8,0.428571429,2286,2199,,1245,838,1787,0.469,207,625,0.331,403,576,0.7,286,1038,467,249,120,445,648
2,Air Force,31,12,19,0.387,-4.04,2,6,12,9,7,0.5625,3,10,0.230769231,2124,2244,,1245,733,1751,0.419,250,755,0.331,408,556,0.734,302,1014,445,201,78,391,557
3,Akron,32,14,18,0.438,-6.68,-1.78,6,12,12,4,0.75,2,10,0.166666667,2296,2411,,1295,793,1823,0.435,305,848,0.36,405,582,0.696,300,1066,417,189,81,440,637
4,Alabama A&M,31,3,28,0.097,-23.88,-7.94,3,15,2,9,0.181818182,1,18,0.052631579,1873,2367,,1245,673,1697,0.397,182,601,0.303,345,533,0.647,328,1046,340,123,49,514,506
5,Alabama-Birmingham,33,20,13,0.606,4.61,-0.94,10,8,14,3,0.823529412,5,6,0.454545455,2536,2303,,1330,945,1939,0.487,223,647,0.345,423,564,0.75,334,1259,559,178,126,437,490
6,Alabama State,31,8,23,0.258,-18.46,-8.52,8,10,4,8,0.333333333,4,13,0.235294118,2129,2437,,1245,751,1838,0.409,209,638,0.328,418,647,0.646,394,1131,314,169,130,437,648
7,Alabama,34,19,15,0.559,12.95,10.56,8,10,12,4,0.75,2,8,0.2,2460,2379,,1360,860,1877,0.458,217,668,0.325,523,778,0.672,341,1231,426,218,186,481,645
8,Albany (NY),32,22,10,0.688,0.15,-5.28,10,6,14,3,0.823529412,8,7,0.533333333,2375,2182,,1280,839,1836,0.457,184,502,0.367,513,680,0.754,377,1191,405,150,91,371,528
9,Alcorn State,32,11,21,0.344,-17.88,-8.41,7,11,9,5,0.642857143,2,16,0.111111111,2244,2388,,1285,791,1826,0.433,239,708,0.338,423,598,0.707,304,1104,419,200,85,459,613
10,American,30,6,24,0.2,-14.45,-5.98,3,15,4,8,0.333333333,2,16,0.111111111,1961,2215,,1205,698,1615,0.432,239,709,0.337,326,491,0.664,238,869,367,217,98,413,550
11,Appalachian State,33,15,18,0.455,-4.56,-2.4,9,9,9,4,0.692307692,4,11,0.266666667,2520,2448,,1340,864,1983,0.436,292,860,0.34,500,748,0.668,389,1291,408,198,116,457,626
12,Arizona State,31,20,11,0.645,15.01,6.81,8,10,13,4,0.764705882,4,6,0.4,2589,2335,,1250,867,1867,0.464,277,760,0.364,578,783,0.738,307,1093,439,204,111,333,585
13,Arizona,34,27,7,0.794,16.92,7.21,14,4,15,1,0.9375,8,3,0.727272727,2750,2420,,1380,980,1940,0.505,235,624,0.377,555,729,0.761,341,1246,518,168,155,417,592
14,Arkansas-Little Rock,32,7,25,0.219,-10.13,-1.9,4,14,5,10,0.333333333,2,14,0.125,2038,2242,,1300,750,1755,0.427,200,623,0.321,338,553,0.611,322,1088,391,159,93,459,612
15,Arkansas-Pine Bluff,35,14,21,0.4,-14.68,-9.19,12,6,7,3,0.7,6,13,0.315789474,2307,2499,,1410,815,1863,0.437,217,660,0.329,460,681,0.675,277,1024,427,274,144,500,681
16,Arkansas State,32,11,21,0.344,-9.35,-2.72,6,12,7,7,0.5,4,13,0.235294118,2369,2523,,1290,842,1910,0.441,236,695,0.34,449,625,0.718,354,1071,341,215,94,419,589
17,Arkansas,34,23,11,0.676,15.68,10.12,10,8,15,2,0.882352941,3,7,0.3,2757,2568,,1375,985,2063,0.477,265,663,0.4,522,770,0.678,346,1183,492,212,157,374,686
18,Army,30,13,17,0.433,-8.53,-7.09,6,12,6,5,0.545454545,4,12,0.25,2230,2223,,1205,820,1845,0.444,295,771,0.383,295,448,0.658,300,1074,500,170,83,403,593
19,Auburn,32,25,7,0.781,17.53,7.47,13,5,15,1,0.9375,7,4,0.636363636,2668,2346,,1280,868,1977,0.439,312,852,0.366,620,789,0.786,388,1222,462,238,173,393,635
20,Austin Peay,32,18,14,0.563,-3.38,-2.15,12,6,12,4,0.75,5,9,0.357142857,2351,2297,,1290,852,1876,0.454,193,553,0.349,454,694,0.654,414,1125,421,211,98,457,641
21,Ball State,32,19,13,0.594,-1.06,-1.83,10,8,14,2,0.875,5,10,0.333333333,2410,2362,,1295,856,1895,0.452,245,727,0.337,453,643,0.705,318,1210,453,170,112,423,548
