result,starplayer_difference,rpi_rating_difference,Log5,adjoe_difference,adjde_difference,EFG-OEEG,TPP-DTPP_difference,SRS_difference,SOS_difference,adjwin_difference,Hostwin_difference,coach_influence_difference,previous_performance_dif,team1_Pts,team1_Opp,team1_MOV,team1_SOS,team1_OSRS,team1_DSRS,team1_SRS,team2_W,team2_L,team2_Pts,team2_Opp,team2_MOV,team2_SOS,team2__OSRS,team2_DSRS,team2_SRS,team1_starplayer_1,team2_starplayer_2,starplayer_difference,Numot,team1_rankdifference,rank_change_difference,dif_distance,exp_win2,Log5,team2_coachrank_difference,team1_seed,team2_seed,seed_difference,team1_adjde,team1_adjoe,team1_adjtempo,team1_ap_final,team1_ap_preseason,team1_arate,team1_blockpct,team1_coaches_before_final,team1_coaches_preseason,team1_de,team1_f3grate,team1_fg2pct,team1_fg3pct,team1_EFP,team1_ftpct,team1_oe,team1_opparate,team1_oppblockpct,team1_oppf3grate,team1_oppfg2pct,team1_oppfg3pct,team1_OEFP,team1_EFP-OEFG,team1_oppftpct,team1_oppstlrate,team1_pt_career_overall_losses,team1_pt_career_school_losses,team1_pt_career_school_wins,team1_pt_coach_season_losses,team1_pt_coach_season_wins,team1_pt_overall_ff,team1_pt_overall_ncaa,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_school_ncaa,team1_pt_school_s16,team1_pt_team_season_losses,team1_pt_team_season_wins,team1_rpi_rating,team1_seed.1,team1_stlrate,team1_TPP-DTPP,team1_tempo,team2_adjde,team2_adjoe,team2_adjtempo,team2_ap_final,team2_ap_preseason,team2_ap_rank_difference,team2_arate,team2_blockpct,team2_coaches_before_final,team2_coaches_preseason,team2_coaches_difference,team2_rank_difference,team2_de,team2_f3grate,team2_fg2pct,team2_fg3pct,team2_EFG,team2_ftpct,team2_oe,team2_opparate,team2_oppblockpct,team2_oppf3grate,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_OEFG,team2_EFG-OEFG,team2_oppstlrate,team2_TPP-OTPP,team2_pt_career_overall_losses,team2_pt_career_school_losses,team2_pt_career_school_wins,team2_pt_coach_season_losses,team2_pt_coach_season_wins,team2_pt_overall_ff,team2_pt_overall_ncaa,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_school_ncaa,team2_pt_school_s16,team2_pt_team_season_losses,team2_pt_team_season_wins,team2_rpi_rating,team2_score,team2_seed,team2_stlrate,team2_tempo
1,0,0.115,0.943905706,14.6285,6.0493,6.037284273,-0.0034,20.88,13,0.110046083,-0.15,35.44409635,0,75.9,66.7,9.26,7.67,9.51,7.41,16.93,19,12,74.3,72.1,2.19,-5.33,-0.44,-3.51,-3.95,0,0,0,0,16,16,88.8205321,0.393596079,0.943905706,0,2,15,13,93.877,111.4954,69.9001,8,24,50.5495,8.0468,8,24,95.2313,33.945,50.6579,30.8677,49.17913699,73.5782,108.4361,46.988,7.1637,32.7925,45.2085,31.7841,46.01770413,3.161432866,68.2422,0.0881,73,49,149,7,26,0,2,0,0,0,0,7,26,0.637,2,0.1053,-0.0172,69.8636,99.9263,96.8669,71.2446,32,32,0,56.5968,8.1871,32,32,0,0,98.4183,26.9051,45.0355,33.9114,46.60449781,66.7785,100.2897,56.3399,9.9291,30.8891,48.538,34.3925,68.8172,49.48034922,-2.875851407,0.1076,-0.0206,63,63,28,11,19,0,0,0,0,0,0,11,19,0.522,78,15,0.1282,71.2357
0,0,0.046,0.323831248,1.2563,-6.7615,-0.361284817,0.0273,-8.54,-10.47,0.235842294,0.266666667,48.11783155,5,79.8,76.6,3.19,-14.18,0.49,-11.77,-11.28,17,19,69.9,68.9,0.97,-3.71,-2.91,0.17,-2.74,0,0,0,0,0,0,-144.611318,0.46227903,0.323831248,0,16,16,0,106.45,99.8665,73.8504,32,32,54.3253,9.434,32,32,99.637,23.9744,48.9138,37.5556,50.69260458,64.2105,103.4213,56.8651,6.4471,29.7082,47.6981,34.1071,48.72676128,1.965843303,70.6505,0.1049,210,210,318,9,21,0,5,0,0,5,0,9,21,0.51,16,0.108,-0.0031,76.0664,99.6885,98.6102,67.7359,32,32,0,54.5135,11.3308,32,32,0,0,96.3688,35.3229,45.6127,34.626,47.84733262,74.4032,98.693,57.8947,10.5144,36.657,42.6616,33.6399,69.6471,45.5202045,2.32712812,0.102,0.0242,18,18,16,18,16,0,0,0,0,0,0,18,16,0.464,81,16,0.0778,68.8425
1,0,0.085,0.831539447,11.9343,0.7442,-3.581570535,-0.0094,11.38,12.54,0.058254269,0.033333333,165.3757775,113,82.1,77.7,4.44,12.49,15.87,1.06,16.93,20,11,66.6,60.9,5.71,-0.05,-1.81,7.36,5.55,0,0,0,0,24.5,25,697.5422888,0.743782393,0.831539447,0,3,14,11,96.9262,117.3877,72.8207,7,32,56.4706,7.2512,8,32,104.0411,33.6275,50,37.6093,52.15685104,73.0769,111.0077,54.8255,8.4934,31.9731,47.8576,34.7826,49.23765492,2.919196121,70.1258,0.0839,239,144,656,9,22,5,22,10,4,17,8,9,22,0.635,3,0.0835,0.0004,74.1462,97.6704,105.4534,64.7948,32,32,0,65.7778,8.7185,32,32,0,0,96.0965,32.3549,47.0414,40.8247,51.63438836,75.8117,105.2163,58.5246,6.7061,39.4402,43.1723,32.0968,69.3679,45.13362171,6.500766656,0.0778,-0.009,52,52,62,10,20,0,0,0,0,0,0,10,20,0.55,81,14,0.0868,63.2345
0,0,-0.069,0.437058343,-1.9905,-0.0559,-2.621701873,0.0054,-2.09,2.51,-0.087878788,-0.333333334,-17.56932365,1,73.5,68.6,4.93,8.68,7.52,6.1,13.61,22,11,78.8,68.4,10.45,6.17,11.07,4.63,15.7,0,0,0,0,0,0,716.4020396,0.898523194,0.437058343,0,9,8,-1,97.3901,111.8788,68.4936,32,32,54.6649,6.1591,32,32,99.058,39.0751,48.7666,36.5385,51.1271854,70.7792,107.2881,53.2325,7.4004,33.047,45.1668,34.4887,47.33674864,3.790436766,69.0598,0.085,49,49,80,11,18,0,2,0,0,2,0,11,18,0.508,9,0.0987,-0.0137,68.4682,97.3342,113.8693,70.1299,32,32,0,67.0759,10.9142,32,32,0,0,95.8235,31.4024,49.037,37.8641,51.47355932,71.194,109,56.5271,8.6667,30.6634,42.6648,33.6538,67.5325,45.06142068,6.412138639,0.1016,-0.0083,72,20,140,10,21,0,3,0,0,1,0,10,21,0.577,82,8,0.1099,70.3693
1,0,0.085,0.982388554,16.2208,13.0654,7.519877565,0.0161,29.06,14.39,0.147857143,0.357142857,85.00915664,41,78.2,60.4,17.8,6.58,11.59,12.79,12.79,22,10,67.1,64,3.13,-7.81,-5.49,0.81,-4.68,0,0,0,0,27,27,359.5301312,0.446941352,0.982388554,0,1,16,15,88.0357,115.7842,68.7152,5,32,48.7073,10.2265,5,32,86.3924,27.8609,50.7363,36.2218,51.73828941,70.9178,112.2741,44.8095,6.2249,28.4029,40.4942,29.5848,41.59708461,10.1412048,68.2848,0.0657,146,100,427,3,30,1,11,4,1,10,4,3,30,0.664,1,0.069,-0.0033,68.4368,101.1011,99.5634,65.8612,32,32,0,53.3422,7.7994,32,32,0,0,95.6198,32.0883,45.4167,35.8025,48.07587347,68.8172,102.6611,55.0218,10.3333,38.8068,42.8041,33.0893,68.2443,45.45454623,2.621327235,0.1041,0.0128,106,106,129,9,22,0,1,0,0,1,0,9,22,0.579,52,16,0.0913,65.0025
0,0,0.078,0.874113645,5.1031,8.7094,6.7604487,0.0054,11.24,-4.19,0.222857143,0.142857143,60.2358737,21,78.2,60.4,17.8,6.58,11.59,12.79,24.38,21,12,75,72.7,2.36,10.77,8.49,4.65,13.14,0,0,0,2,27,54,3035.908897,0.866524262,0.874113645,-27,1,8,7,88.0357,115.7842,68.7152,5,32,48.7073,10.2265,5,32,86.3924,27.8609,50.7363,36.2218,51.73828941,70.9178,112.2741,44.8095,6.2249,28.4029,40.4942,29.5848,41.59708461,10.1412048,68.2848,0.0657,146,100,427,3,30,1,11,4,1,10,4,3,30,0.664,1,0.069,-0.0033,68.4368,96.7451,110.6811,68.5327,32,5,-27,52.9933,8.1152,32,5,-27,-27,102.9371,29.9163,50.6716,38.986,53.00728521,69.1834,106.244,55.6858,6.1194,42.9283,49.3892,33.2947,71.5548,49.62652911,3.3807561,0.0805,0.0021,58,58,133,11,19,0,5,4,0,5,4,11,19,0.586,105,8,0.0784,69.505
1,0,0.042,0.519556918,-1.7179,1.9798,5.481645568,-0.0027,0.17,-0.74,0.129411764,0.1,94.3304888,53,77.8,69.2,8.59,7.43,9.33,6.69,16.02,23,11,75.4,67.8,7.68,8.17,6.88,8.97,15.85,0,0,0,0,20.5,22,-144.1384976,0.903467482,0.519556918,7,2,7,5,91.5948,108.1906,70.3456,10,32,50.823,15.6499,13,32,93.6429,19.4334,50.4627,39.3862,52.13719834,69.6315,106.1949,55.7831,8.575,30.8891,40.5836,32.3442,43.03393964,9.103258709,71.151,0.091,286,149,623,6,24,1,14,7,1,9,7,6,24,0.627,2,0.1035,-0.0125,71.8605,93.5746,109.9085,68.8094,32,32,0,63.2677,5.6648,25,32,7,3.5,96.7003,40.4712,51.4512,35.9638,52.46075408,75.5047,108.3939,54.8185,9.7625,29.7402,49.5673,31.4126,73.6626,48.83914094,3.621613141,0.0984,-0.0152,110,84,171,10,22,0,1,0,0,0,0,10,22,0.585,74,7,0.1136,69.9059
0,0,-0.05,0.23172386,-2.1257,-6.4358,-3.000590569,-0.0117,-10.82,-8.56,-0.009642857,0,-1.579909198,-2,75.7,68.7,7,1.38,5.37,3.02,8.38,26,9,77.4,67.7,9.69,9.94,10.9,8.3,19.2,0,0,0,0,0,10,-371.989314,0.93109885,0.23172386,-13,12,4,-8,99.2335,109.7891,68.6093,32,32,57.4794,10.6112,32,32,98.2993,33.8436,51.157,37.1567,52.70637693,73.037,109.6425,54.4371,5.9504,32.1819,45.6706,38.8193,49.71211564,2.994261291,73.3229,0.1035,161,94,228,8,22,0,4,0,0,3,0,8,22,0.572,12,0.1174,-0.0139,68.1765,92.7977,111.9148,70.701,13,3,-10,64.978,11.1111,16,3,-13,-11.5,96.4559,35.8178,52.7419,36.7052,53.57140443,74.0139,109.6636,55.092,8.1452,35.2551,45.7053,34.0087,66.3158,47.57655257,5.99485186,0.0793,-0.0256,97,16,180,8,24,0,3,2,0,1,1,8,24,0.622,72,4,0.1049,70.3965
0,0,-0.036,0.843,3.1178,8.8047,3.802539518,0.0229,13.89,6.99,-0.022983871,-0.3,-2.082142996,24,80.5,66.6,13.9,8.37,13.8,8.47,22.27,23,9,75.7,68.7,7,1.38,5.37,3.02,8.38,0,0,0,2,-8.5,-9,-748.2488053,0.802990314,0.843,0,5,12,7,90.4288,112.9069,71.4041,15,6,58.1839,12,14,6,91.125,34.6498,53.1829,35.2584,53.08057914,69.7234,110.4177,59.6953,7.1716,33.8401,44.4255,33.2779,46.28377833,6.796800809,68.4039,0.0993,84,64,159,8,22,1,3,2,1,3,2,8,22,0.536,5,0.1361,-0.0368,71.8971,99.2335,109.7891,68.6093,32,32,0,57.4794,10.6112,32,32,0,0,98.2993,33.8436,51.157,37.1567,52.70637693,73.037,109.6425,54.4371,5.9504,32.1819,45.6706,38.8193,73.3229,49.71211564,2.994261291,0.1035,-0.0139,161,94,228,8,22,0,4,0,0,3,0,8,22,0.572,83,12,0.1174,68.1765
1,0,0.003,0.911795818,10.4402,7.2873,2.760299936,0.0227,0.09,1.14,-0.041964286,-0.75,101.7481272,0,79.6,74.6,5.07,-0.8,7.36,-6.62,0.74,19,13,78.6,73.4,5.16,-1.94,3.75,-3.11,0.65,0,0,0,0,4.5,9,-371.9976564,0.497171225,0.911795818,0,3,14,11,96.9263,114.569,70.9604,23,32,56.9087,9.4293,32,32,100.5115,30.1747,50.7961,32.2807,50.07943579,74.3066,108.4477,56.2882,9.022,36.3349,50.0414,31.0145,48.76253869,1.316897096,66.6058,0.1055,226,44,450,9,21,1,15,4,0,1,0,9,21,0.612,3,0.1259,-0.0204,70.6786,104.2136,104.1288,70.7761,32,32,0,49.2974,12.5,32,32,0,0,103.1195,31.0985,49.476,32.0066,49.02006489,71.8861,106.5064,57.6577,7.0359,31.8656,50.085,34.1818,70.5056,50.46346773,-1.44340284,0.1074,0.0023,39,39,86,12,19,0,1,0,0,1,0,12,19,0.609,68,14,0.1051,72.066
